game_name,최적화#프레임,최적화#조작감,시스템#버그,콘텐츠#볼륨,콘텐츠#몰입도,시스템#밸런스,시스템#독창성,시스템#자유도,UX#그래픽,UX#캐릭터디자인,UX#사운드,스토리#내러티브,운영#핵/치트,운영#업데이트,콘텐츠#난이도,시스템#진입장벽,콘텐츠#피로도,overall_positive_review_ratio
Dyson Sphere Program,-0.25,0.625,-0.8182,0.4706,0.9155,-0.88,0.65,0.8125,0.45,0.1818,0.5556,0.2727,-0.75,-0.4286,-0.7895,-0.9565,-1.0,0.9749457617039085
World of Tanks,-1.0,,-0.9412,0.2857,0.5333,-1.0,-0.0714,0.3636,,,,,-1.0,-0.5556,-0.8462,-0.9091,-1.0,0.802363245577744
Uncharted Waters IV HD Version,-0.95,-0.2857,-0.96,0.2,0.8689,-1.0,0.5714,0.2727,0.4444,,,0.25,,-0.6667,-0.8889,-1.0,,0.6551554020720276
Age of Darkness: Final Stand,-0.9412,-0.2727,-1.0,-0.2353,0.5849,-0.9744,-0.0833,0.1,0.2,,-0.625,,,-0.7742,-0.8571,-0.9545,-1.0,0.747907949790795
Yu-Gi-Oh! Master Duel,,,,0.875,0.881,-1.0,0.9091,0.7059,,,,,,-0.25,-0.75,-0.9091,-0.8667,0.7197050058089609
Cookie Clicker,,,,0.7727,0.8548,-1.0,0.8462,0.6842,0.6364,0.3333,,0.5,,-0.4286,-0.8889,-0.8667,-0.9091,0.9645887369763044
Dorfromantik,,0.3333,,0.4348,0.8293,-1.0,0.6333,0.7308,0.2,-0.0667,0.4286,0.3077,,-0.4,-0.4615,-0.6154,-0.9524,0.9636717815522368
Age of Empires IV: Anniversary Edition,-1.0,,-1.0,0.069,0.8088,-1.0,0.0,0.2778,0.1,-0.1429,,0.5455,,-0.8182,-0.9412,-0.8095,-0.8333,0.8573009562694746
Wartales,,,,0.6,0.8788,-1.0,,0.0,,,,,,-0.2857,-0.7778,-1.0,,0.862614225557879
Goose Goose Duck,,,,0.5455,0.9615,-1.0,0.4286,0.4444,,,,,,,-0.8,-0.9231,-1.0,0.8655408002579077
PlateUp!,-1.0,,-1.0,0.1481,0.7344,-0.9167,0.0417,0.125,0.0,-0.125,0.1111,0.1429,,-0.7368,-0.9091,-1.0,-1.0,0.9475019885610394
Frostpunk 2,-0.8824,,-1.0,0.0,0.6,-0.8947,0.0909,-0.0909,,,,0.0769,-1.0,-0.6875,-0.9167,-1.0,-0.8462,0.7500673724735323
Broken Arrow,-0.8636,-0.25,-0.96,0.2632,0.7419,-1.0,0.4,0.3478,0.3846,-0.2222,0.125,0.3846,-0.8824,-0.76,-0.963,-1.0,-1.0,0.559521891813525
"Warhammer 40,000: Chaos Gate - Daemonhunters",-0.6923,-0.1429,-1.0,0.2308,0.7937,-0.9189,0.3571,0.4583,0.3077,-0.125,,0.3333,,-0.3,-0.7778,-1.0,-1.0,0.7679439122587811
The Bazaar,-0.8333,,-0.9167,0.3889,0.6618,-0.9189,0.4,0.1765,,,,,,-0.4688,-0.5714,-0.6,-1.0,0.7293406276993953
For The King II,-0.8462,,-0.9474,-0.0526,0.5714,-0.9643,-0.0741,0.2667,0.3,,,,,-0.25,-0.8571,-1.0,-1.0,0.7068293617836836
Company of Heroes 3,-0.8182,-0.2222,-1.0,-0.1176,0.6452,-1.0,0.4483,0.3333,0.3125,0.2,0.0,0.1818,-1.0,-0.619,-0.9231,-1.0,-1.0,0.5698683769930196
Persona 3 Portable,-1.0,-1.0,-0.9286,0.3529,0.8116,-1.0,0.3103,0.25,0.3182,-0.1111,0.1667,0.4762,-1.0,-0.4375,-0.9,-1.0,-1.0,0.8060747663551402
Bellwright,-0.7059,-0.0667,-0.9474,0.3143,0.6456,-0.931,0.52,0.2857,-0.12,-0.4211,-0.1667,-0.0909,-1.0,-0.5217,-0.75,-0.875,-1.0,0.8063348416289593
Dragon Age™: The Veilguard,-0.4375,0.3333,-1.0,0.1373,0.4556,-0.9091,0.0,0.0816,0.1842,-0.2857,-0.04,-0.0426,-1.0,-0.4074,-0.7667,-0.8235,-0.973,0.6843282065180568
TRIANGLE STRATEGY,,,,0.4872,0.7792,-1.0,0.5,0.3846,0.5294,0.4615,0.75,0.1364,,-0.4545,-0.625,-1.0,-0.9167,0.7991145545102379
Stacklands,-0.7778,,-1.0,0.4444,0.8814,-1.0,0.4545,0.2857,0.75,0.0,,0.4286,,-0.8571,-0.3889,-0.6471,-0.6667,0.9609168976942322
Riichi City - Japanese Mahjong,,,-0.7778,0.2222,0.7368,-1.0,-0.0625,0.5,0.4706,0.1429,,0.4444,-1.0,-0.7391,-0.7273,-0.8571,-0.75,0.4803115534400692
Limbus Company,-1.0,,-1.0,0.35,0.8393,-0.9259,0.0769,0.4375,1.0,0.7273,,0.8667,-0.75,-0.4444,-0.5882,-0.7895,-1.0,0.877520413264456
MARVEL SNAP,-0.6429,,-0.9375,0.6316,0.7872,-0.7143,0.5714,0.65,,,,,,-0.5,-0.7,-0.7308,-0.875,0.7283662839218394
The Farmer Was Replaced,-0.1429,0.2857,-0.8571,0.4,0.9048,-1.0,0.4,0.6364,0.9091,,,0.4444,,0.0,-0.6842,-0.75,-0.8182,0.9573896801307494
Persona 3 Reload,-0.4167,0.2308,,0.6667,0.9444,-0.6316,0.6,0.6923,0.75,0.5385,0.6364,0.3913,,0.1429,-0.5455,-0.7143,-0.9231,0.9438527538469637
shapez 2 - Factory,-0.1053,0.4,-0.875,0.625,0.9425,-0.8889,0.7692,0.6667,0.8235,0.4,1.0,0.7692,,0.0,-0.3333,-0.7586,-0.9259,0.973186447723966
Two Point Museum,,0.75,,0.6364,0.9753,-0.3636,0.9545,0.8846,0.8333,0.8571,1.0,0.9091,,0.5625,0.05,0.1053,-0.625,0.9555275325767127
Thronefall,-0.6667,0.5,,0.7857,0.9474,-0.72,0.8636,0.84,0.9167,,,0.7143,,0.2308,-0.3,-0.5833,-0.8571,0.9622027425794132
Balatro,,,,0.8182,0.9518,-0.5,0.6,0.6,0.8571,0.7143,,,,-0.0667,-0.25,-0.4737,-0.7143,0.9787204190440556
Storm Striker,-0.7273,0.6,-0.9,0.375,0.8684,-0.7692,0.5333,0.25,0.5714,0.0769,,0.25,-1.0,-0.2903,-0.5882,-0.4231,-0.8462,0.7109227871939736
Sword of Convallaria,-1.0,,-1.0,0.2778,0.8167,-1.0,0.5238,0.2353,0.5455,0.4444,,0.2941,-1.0,-0.7857,-0.9091,-0.7391,-1.0,0.7511767222935387
Shadowverse: Worlds Beyond,-0.5714,-0.125,,0.0606,0.678,-0.8889,0.1923,0.3,0.2353,-0.125,-0.1667,0.2273,,-0.619,-0.8182,-0.9048,-1.0,0.2910682132239018
Dispatch,,,,0.2174,0.9737,-0.9474,0.5652,0.4348,0.6667,0.2105,0.75,0.5417,,0.0714,-0.5625,-0.5333,-1.0,0.9759516636998494
Spectral Scream,-0.8333,,-1.0,0.4762,0.6379,-0.8261,0.3571,0.2353,0.3,0.5385,,,-1.0,-0.2941,-0.4737,-0.9167,-0.8947,0.781718963165075
Astral Party,,,,0.2941,0.8254,-0.9,0.6667,0.6,0.5714,0.5,,,,-0.4091,-0.625,-0.8421,-0.8571,0.5475277791256248
Rusty's Retirement,-0.7,0.8462,-1.0,0.3409,0.8293,-1.0,0.4333,0.6,0.5556,0.28,0.6667,0.16,,-0.3846,-0.6452,-0.625,-1.0,0.9682953609662366
Metaphor: ReFantazio,-0.5455,-0.0625,-0.8,0.2973,0.8413,-1.0,0.3333,0.4333,0.44,-0.25,0.3333,0.4583,,-0.56,-0.52,-0.8462,-0.9167,0.8981124760727872
Planet Coaster 2,-0.6296,0.125,-0.9474,0.2,0.6364,-0.7917,0.2609,0.5,0.3333,0.3636,-0.0769,0.4286,-1.0,-0.55,-0.6667,-1.0,-1.0,0.7283555423211494
Marvel Rivals,,-0.7143,,0.4444,0.92,-0.8182,0.3636,0.5333,0.3913,0.5,,0.0833,,-0.3636,-0.7143,-1.0,-1.0,0.7637464040208599
The WereCleaner,,,,0.6923,1.0,-0.9412,0.8462,0.9333,0.875,0.7143,,,,0.25,-0.4091,-0.6667,-1.0,0.9941130298273156
Buckshot Roulette,,,,0.1,0.8958,-0.8929,,0.125,,,,,,-0.7333,-0.7368,-1.0,-0.7143,0.9530628945522562
Slay the Spire 2,,,-1.0,0.25,0.8431,-1.0,-0.2222,0.0,,,,,,-0.8095,-0.7692,-1.0,-1.0,0.6318429506861535
Liar's Bar,,,-1.0,-0.1111,0.8511,-0.95,0.4,0.7778,,,,,,-0.5714,-0.9333,-0.8333,-1.0,0.8980791775633511
Schedule I,-1.0,,-0.8889,0.44,0.8088,-1.0,0.6667,0.3,0.5556,0.7143,,0.5556,,-0.2273,-0.75,-0.6842,-0.95,0.9786015002173026
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,-0.1429,,,0.0303,0.7442,-0.9048,0.3333,0.5769,0.5455,-0.3333,,0.0,,-0.2857,-0.4091,-0.8,-1.0,0.9635596695764252
Anno 117: Pax Romana,-0.9375,-0.125,-0.9375,0.1515,0.6812,-1.0,0.0345,0.0385,0.2174,0.1,-0.125,0.0667,-1.0,-0.4688,-0.6667,-0.9167,-1.0,0.6967301772194026
GIRLS' FRONTLINE 2: EXILIUM,,,,0.3684,0.6875,-1.0,-0.1429,0.28,0.5833,-0.1111,,0.2857,-1.0,-0.6786,-0.5333,-0.8667,-0.8421,0.5214685749844431
CloverPit,-1.0,,-1.0,0.15,0.7119,-1.0,-0.25,0.0,0.125,0.0,-0.4286,0.0,,-0.84,-0.8182,-1.0,-1.0,0.902930251754024
Europa Universalis V,-0.9677,-0.8462,-1.0,0.0,0.2245,-0.96,-0.5263,-0.5,-0.5385,-0.6667,-0.7778,-1.0,-1.0,-0.7045,-1.0,-1.0,-1.0,0.6839367457344986
Football Manager 26,-0.9091,-0.7647,-0.9286,-0.1111,0.3488,-0.9259,-0.2,-0.5263,-0.4737,-0.5385,-0.4167,-0.2222,-1.0,-0.6765,-0.9444,-0.913,-1.0,0.3341724545812987
StarSavior,-0.3333,0.5,-0.8333,0.4667,0.6406,-0.8947,0.2174,0.4118,0.0526,0.0556,-0.0909,0.2667,,-0.2759,-0.4286,-0.2,-0.7692,0.6096547314578005
Shelldiver,,,,0.6087,1.0,,,0.7778,,,,,,,,,-0.3,0.9881016350656328
